service_id,date,exception_type
92610,20250407,1
12010,20250407,1
85510,20250407,1
77710,20250407,1
40510,20250407,1
92610,20250408,1
12010,20250408,1
87510,20250408,1
77710,20250408,1
40510,20250408,1
92610,20250409,1
12010,20250409,1
85510,20250409,1
77710,20250409,1
40510,20250409,1
92610,20250410,1
12010,20250410,1
87510,20250410,1
77710,20250410,1
40510,20250410,1
92610,20250411,1
12010,20250411,1
95410,20250411,1
77710,20250411,1
92610,20250421,1
12010,20250421,1
85510,20250421,1
96910,20250421,1
77710,20250421,1
40510,20250421,1
92610,20250422,1
12010,20250422,1
87510,20250422,1
96910,20250422,1
77710,20250422,1
40510,20250422,1
92610,20250423,1
12010,20250423,1
85510,20250423,1
96910,20250423,1
77710,20250423,1
40510,20250423,1
92610,20250424,1
12010,20250424,1
96910,20250424,1
77710,20250424,1
40510,20250424,1
92610,20250425,1
12010,20250425,1
85510,20250425,1
96910,20250425,1
77710,20250425,1
92610,20250428,1
12010,20250428,1
85510,20250428,1
96910,20250428,1
77710,20250428,1
40510,20250428,1
92610,20250429,1
12010,20250429,1
87510,20250429,1
96910,20250429,1
77710,20250429,1
40510,20250429,1
92610,20250430,1
12010,20250430,1
85510,20250430,1
96910,20250430,1
77710,20250430,1
40510,20250430,1
92610,20250501,1
12010,20250501,1
87510,20250501,1
96910,20250501,1
77710,20250501,1
40510,20250501,1
92610,20250502,1
12010,20250502,1
85510,20250502,1
96910,20250502,1
77710,20250502,1
92610,20250505,1
12010,20250505,1
85510,20250505,1
96910,20250505,1
77710,20250505,1
40510,20250505,1
92610,20250506,1
12010,20250506,1
87510,20250506,1
96910,20250506,1
77710,20250506,1
40510,20250506,1
92610,20250507,1
12010,20250507,1
85510,20250507,1
96910,20250507,1
77710,20250507,1
40510,20250507,1
92610,20250508,1
12010,20250508,1
87510,20250508,1
96910,20250508,1
77710,20250508,1
40510,20250508,1
92610,20250509,1
12010,20250509,1
85510,20250509,1
96910,20250509,1
77710,20250509,1
92610,20250512,1
12010,20250512,1
85510,20250512,1
96910,20250512,1
77710,20250512,1
40510,20250512,1
92610,20250513,1
12010,20250513,1
87510,20250513,1
96910,20250513,1
77710,20250513,1
40510,20250513,1
92610,20250514,1
12010,20250514,1
85510,20250514,1
96910,20250514,1
77710,20250514,1
40510,20250514,1
92610,20250515,1
12010,20250515,1
87510,20250515,1
96910,20250515,1
77710,20250515,1
40510,20250515,1
92610,20250516,1
12010,20250516,1
85510,20250516,1
96910,20250516,1
77710,20250516,1
92610,20250519,1
12010,20250519,1
85510,20250519,1
96910,20250519,1
77710,20250519,1
40510,20250519,1
92610,20250520,1
12010,20250520,1
87510,20250520,1
96910,20250520,1
77710,20250520,1
40510,20250520,1
92610,20250521,1
12010,20250521,1
85510,20250521,1
96910,20250521,1
77710,20250521,1
40510,20250521,1
92610,20250522,1
12010,20250522,1
87510,20250522,1
96910,20250522,1
77710,20250522,1
40510,20250522,1
95410,20250523,1
96910,20250523,1
77710,20250523,1
92610,20250527,1
12010,20250527,1
87510,20250527,1
96910,20250527,1
77710,20250527,1
40510,20250527,1
92610,20250528,1
12010,20250528,1
85510,20250528,1
96910,20250528,1
77710,20250528,1
40510,20250528,1
92610,20250529,1
12010,20250529,1
87510,20250529,1
96910,20250529,1
77710,20250529,1
40510,20250529,1
92610,20250530,1
12010,20250530,1
85510,20250530,1
96910,20250530,1
77710,20250530,1
92610,20250602,1
79010,20250602,1
85510,20250602,1
96910,20250602,1
77710,20250602,1
40510,20250602,1
92610,20250603,1
79010,20250603,1
87510,20250603,1
96910,20250603,1
77710,20250603,1
40510,20250603,1
92610,20250604,1
79010,20250604,1
85510,20250604,1
96910,20250604,1
77710,20250604,1
40510,20250604,1
87510,20250605,1
96910,20250605,1
77710,20250605,1
40510,20250605,1
95410,20250606,1
96910,20250606,1
77710,20250606,1
85510,20250609,1
96910,20250609,1
77710,20250609,1
40510,20250609,1
87510,20250610,1
96910,20250610,1
77710,20250610,1
40510,20250610,1
96910,20250611,1
77710,20250611,1
40510,20250611,1
96910,20250612,1
77710,20250612,1
40510,20250612,1
77710,20250613,1
77710,20250616,1
40510,20250616,1
77710,20250617,1
40510,20250617,1
77710,20250623,1
40510,20250623,1
77710,20250624,1
40510,20250624,1
77710,20250625,1
40510,20250625,1
77710,20250626,1
40510,20250626,1
77710,20250627,1
77710,20250630,1
40510,20250630,1
77710,20250701,1
40510,20250701,1
77710,20250702,1
40510,20250702,1
77710,20250703,1
40510,20250703,1
77710,20250707,1
40510,20250707,1
77710,20250708,1
40510,20250708,1
77710,20250709,1
40510,20250709,1
77710,20250710,1
40510,20250710,1
77710,20250711,1
77710,20250714,1
40510,20250714,1
77710,20250715,1
40510,20250715,1
77710,20250716,1
40510,20250716,1
77710,20250717,1
40510,20250717,1
77710,20250718,1
77710,20250721,1
40510,20250721,1
77710,20250722,1
40510,20250722,1
77710,20250723,1
40510,20250723,1
77710,20250724,1
40510,20250724,1
77710,20250725,1
77710,20250728,1
40510,20250728,1
77710,20250729,1
40510,20250729,1
77710,20250730,1
40510,20250730,1
77710,20250731,1
40510,20250731,1
77710,20250801,1
77710,20250804,1
40510,20250804,1
77710,20250805,1
40510,20250805,1
77710,20250806,1
40510,20250806,1
77710,20250807,1
40510,20250807,1
77710,20250808,1
