route_id,fare_id,route_id_base
2-13191,1,2
2-13191,2,2
4-13191,1,4
4-13191,2,4
10-13191,1,10
10-13191,2,10
14-13191,1,14
14-13191,2,14
16-13191,1,16
16-13191,2,16
18-13191,1,18
18-13191,2,18
20-13191,1,20
20-13191,2,20
28-13191,1,28
28-13191,2,28
30-13191,1,30
30-13191,2,30
33-13191,1,33
33-13191,2,33
35-13191,1,35
35-13191,2,35
40-13191,1,40
40-13191,2,40
45-13191,1,45
45-13191,2,45
51-13191,1,51
51-13191,2,51
53-13191,1,53
53-13191,2,53
55-13191,1,55
55-13191,2,55
60-13191,1,60
60-13191,2,60
62-13191,1,62
62-13191,2,62
66-13191,1,66
66-13191,2,66
70-13191,1,70
70-13191,2,70
76-13191,1,76
76-13191,2,76
78-13191,1,78
78-13191,2,78
81-13191,1,81
81-13191,2,81
90-13191,1,90
90-13191,2,90
92-13191,1,92
92-13191,2,92
94-13191,1,94
94-13191,2,94
102-13191,1,102
102-13191,2,102
105-13191,1,105
105-13191,2,105
106-13191,1,106
106-13191,2,106
108-13191,1,108
108-13191,2,108
110-13191,1,110
110-13191,2,110
111-13191,1,111
111-13191,2,111
115-13191,1,115
115-13191,2,115
117-13191,1,117
117-13191,2,117
120-13191,1,120
120-13191,2,120
125-13191,1,125
125-13191,2,125
127-13191,1,127
127-13191,2,127
128-13191,1,128
128-13191,2,128
134-13191,1,134
134-13191,2,134
150-13191,1,150
150-13191,2,150
152-13191,1,152
152-13191,2,152
154-13191,1,154
154-13191,2,154
155-13191,1,155
155-13191,2,155
158-13191,1,158
158-13191,2,158
161-13191,1,161
161-13191,2,161
162-13191,1,162
162-13191,2,162
164-13191,1,164
164-13191,2,164
165-13191,1,165
165-13191,2,165
166-13191,1,166
166-13191,2,166
167-13191,1,167
167-13191,2,167
169-13191,1,169
169-13191,2,169
179-13191,1,179
179-13191,2,179
180-13191,1,180
180-13191,2,180
182-13191,1,182
182-13191,2,182
202-13191,1,202
202-13191,2,202
204-13191,1,204
204-13191,2,204
205-13191,1,205
205-13191,2,205
206-13191,1,206
206-13191,2,206
207-13191,1,207
207-13191,2,207
209-13191,1,209
209-13191,2,209
210-13191,1,210
210-13191,2,210
211-13191,1,211
211-13191,2,211
212-13191,1,212
212-13191,2,212
217-13191,1,217
217-13191,2,217
218-13191,1,218
218-13191,2,218
222-13191,1,222
222-13191,2,222
224-13191,1,224
224-13191,2,224
230-13191,1,230
230-13191,2,230
232-13191,1,232
232-13191,2,232
233-13191,1,233
233-13191,2,233
234-13191,1,234
234-13191,2,234
236-13191,1,236
236-13191,2,236
237-13191,1,237
237-13191,2,237
240-13191,1,240
240-13191,2,240
242-13191,1,242
242-13191,2,242
244-13191,1,244
244-13191,2,244
246-13191,1,246
246-13191,2,246
251-13191,1,251
251-13191,2,251
258-13191,1,258
258-13191,2,258
260-13191,1,260
260-13191,2,260
265-13191,1,265
265-13191,2,265
266-13191,1,266
266-13191,2,266
267-13191,1,267
267-13191,2,267
268-13191,1,268
268-13191,2,268
287-13191,1,287
287-13191,2,287
294-13191,1,294
294-13191,2,294
296-13191,1,296
296-13191,2,296
344-13191,1,344
344-13191,2,344
460-13191,1,460
460-13191,2,460
487-13191,1,487
487-13191,2,487
501-13191,1,501
501-13191,2,501
550-13191,1,550
550-13191,2,550
577-13191,1,577
577-13191,2,577
601-13191,1,601
601-13191,2,601
602-13191,1,602
602-13191,2,602
603-13191,1,603
603-13191,2,603
605-13191,1,605
605-13191,2,605
611-13191,1,611
611-13191,2,611
617-13191,1,617
617-13191,2,617
660-13191,1,660
660-13191,2,660
662-13191,1,662
662-13191,2,662
665-13191,1,665
665-13191,2,665
690-13191,1,690
690-13191,2,690
720-13191,1,720
720-13191,2,720
754-13191,1,754
754-13191,2,754
761-13191,1,761
761-13191,2,761
857-13191,4,857
901-13191,3,901
910-13191,1,910
910-13191,2,910
698-13191,4,698
699-13191,4,699
DSE-HG,4,DSE-HG
DSE-US,4,DSE-US
